"timeMillisSpent","score"
3,"-1hard/-1medium/-2147483647soft"
4259,"0hard/-1medium/-402soft"
21311,"0hard/-1medium/-394soft"
25681,"0hard/0medium/-335soft"
108523,"0hard/0medium/-322soft"
223513,"0hard/0medium/-314soft"
241057,"0hard/0medium/-310soft"
