"timeMillisSpent","usedMemory","maxMemory"
4306,8841584,1834483712
8608,8841584,1834483712
12964,8841584,1834483712
17279,9575968,1834483712
21497,9576424,1834483712
25885,10311256,1834483712
25885,10311256,1834483712
30383,10311712,1834483712
34654,11050344,1834483712
39135,11050800,1834483712
43419,11053320,1834483712
43419,11053320,1834483712
47947,11787600,1834483712
52450,11787600,1834483712
56980,12530056,1834483712
61515,12530512,1834483712
65807,13273424,1834483712
70152,13273880,1834483712
74621,13274336,1834483712
79156,14017248,1834483712
79156,14017248,1834483712
83367,14019768,1834483712
83367,14019768,1834483712
87643,14758128,1834483712
92052,15500584,1834483712
96426,15500584,1834483712
100987,15501040,1834483712
105519,16237480,1834483712
105519,16237480,1834483712
109716,16237936,1834483712
114269,16980848,1834483712
114269,16980848,1834483712
118556,17723760,1834483712
118556,17723760,1834483712
122961,17726280,1834483712
127141,18468736,1834483712
127141,18468736,1834483712
131474,19211192,1834483712
135838,19211192,1834483712
140128,19211648,1834483712
140129,19945920,1834483712
144622,19946376,1834483712
148821,19946832,1834483712
153122,20689744,1834483712
157454,20690200,1834483712
161758,21443368,1834483712
166142,21443368,1834483712
170505,21443368,1834483712
174854,22185824,1834483712
174854,22185824,1834483712
179344,22186280,1834483712
179344,22186280,1834483712
183785,23655272,1834483712
183785,23655272,1834483712
187950,24398184,1834483712
192206,24398640,1834483712
196580,24399096,1834483712
201077,25144072,1834483712
205322,25144072,1834483712
209538,25886528,1834483712
213823,25886528,1834483712
218307,25886984,1834483712
222830,26621776,1834483712
227135,26622232,1834483712
231430,27357280,1834483712
235656,27357736,1834483712
235656,27357736,1834483712
240176,28837376,1834483712
244516,28837376,1834483712
249052,28837376,1834483712
249052,29575736,1834483712
253450,29575736,1834483712
257986,29576192,1834483712
257987,29576192,1834483712
262310,30311440,1834483712
266594,30311896,1834483712
270886,31054808,1834483712
275127,31055264,1834483712
275128,31055264,1834483712
279687,31792064,1834483712
284040,31792064,1834483712
284041,31792064,1834483712
288372,37674456,1834483712
288372,37674456,1834483712
292626,39159368,1834483712
292626,39159368,1834483712
296971,39894088,1834483712
301260,40637000,1834483712
305795,40637456,1834483712
310179,40637912,1834483712
314666,41373144,1834483712
318916,41375664,1834483712
323362,42118120,1834483712
327893,42118120,1834483712
332164,42118120,1834483712
336448,42856936,1834483712
340682,42857392,1834483712
345032,7876872,1834483712
349479,7879392,1834483712
353841,7879392,1834483712
358070,8611360,1834483712
362624,8611360,1834483712
366911,9345168,1834483712
366912,9345168,1834483712
371238,10077592,1834483712
375464,10078048,1834483712
379919,10810472,1834483712
384290,10810928,1834483712
388819,10813448,1834483712
393144,11545416,1834483712
397455,11545416,1834483712
401951,12277384,1834483712
406348,12277840,1834483712
410524,13002080,1834483712
414756,13002536,1834483712
419068,13002992,1834483712
423340,13735416,1834483712
427597,13737936,1834483712
431987,14469904,1834483712
436158,14469904,1834483712
440439,14469904,1834483712
440440,14469904,1834483712
444903,18098496,1834483712
444903,18098496,1834483712
449195,18098952,1834483712
453443,18831376,1834483712
453444,18831376,1834483712
457827,19555624,1834483712
462093,19556080,1834483712
466476,20286472,1834483712
471028,20286472,1834483712
475357,21018440,1834483712
479728,21018440,1834483712
484239,21750864,1834483712
488748,21751320,1834483712
493230,21751776,1834483712
497717,22484200,1834483712
502092,22484656,1834483712
506454,23220528,1834483712
510787,23220528,1834483712
510787,23220528,1834483712
515115,24676280,1834483712
519506,24676280,1834483712
519506,24676280,1834483712
523693,25400536,1834483712
528064,26132960,1834483712
532354,26133416,1834483712
536676,26874032,1834483712
545181,26877008,1834483712
549458,27608976,1834483712
553706,27608976,1834483712
558222,28357344,1834483712
562550,28357800,1834483712
575670,29083288,1834483712
579886,29807552,1834483712
584177,29810072,1834483712
592795,30542040,1834483712
596964,30542040,1834483712
601516,31290864,1834483712
